Title,Description,Issuer,Issue Date
Top 10 Texas Instrumentation Innovation Challenge,I was the core developer of VISIO team and we won the TI innovation challenge,Texas Instrumentation,Aug 2018
IEDC Disha Project,I am a member of the team of Disha- it aims to improve life for the blind using Android App to communicate as thier third sense,"Department of Science and Technology,Govt of India",Apr 2018
MSME - Margdarshak,I was a part of Margdarshak that aims to assist people with navigation by making their shoes and cap - device aware  It is clubbed with an app to help them navigate efficiently,"Ministry of Micro, Small & Medium Enterprises,Govt of India",May 2018
